Local,Ask,Bid,Ask Volume,Bid Volume
02.01.2024 00:00:12.108 UTC+01:00,1.10481,1.10427,0.9,0.9
02.01.2024 00:00:14.513 UTC+01:00,1.10480,1.10425,0.9,0.9
02.01.2024 00:00:18.925 UTC+01:00,1.10476,1.10425,0.5,0.9
02.01.2024 00:00:25.498 UTC+01:00,1.10480,1.10425,0.9,0.9
02.01.2024 00:00:31.017 UTC+01:00,1.10483,1.10429,1.0,0.9
02.01.2024 00:01:02.241 UTC+01:00,1.10479,1.10423,0.9,0.9
02.01.2024 00:01:15.882 UTC+01:00,1.10475,1.10421,0.5,0.9
02.01.2024 00:02:07.339 UTC+01:00,1.10477,1.10423,0.9,0.9
02.01.2024 00:02:44.801 UTC+01:00,1.10481,1.10427,1.0,0.9
02.01.2024 00:03:11.560 UTC+01:00,1.10478,1.10424,0.9,0.9
02.01.2024 00:03:55.204 UTC+01:00,1.10474,1.10420,0.9,0.9
02.01.2024 00:04:18.773 UTC+01:00,1.10470,1.10416,0.9,0.9
02.01.2024 00:04:50.119 UTC+01:00,1.10468,1.10414,0.9,0.9
02.01.2024 00:05:03.447 UTC+01:00,1.10472,1.10418,0.9,0.9
02.01.2024 00:06:30.882 UTC+01:00,1.10476,1.10422,1.0,0.9
02.01.2024 00:07:45.119 UTC+01:00,1.10480,1.10426,0.9,0.9
02.01.2024 00:08:22.554 UTC+01:00,1.10484,1.10430,0.9,0.9
02.01.2024 00:09:11.003 UTC+01:00,1.10479,1.10425,1.0,0.9
02.01.2024 00:09:58.771 UTC+01:00,1.10475,1.10421,0.9,0.9
02.01.2024 00:14:44.229 UTC+01:00,1.10471,1.10417,0.9,0.9
