Date,Time,Open,High,Low,Close,Volume
2024-01-02,10:00,1.10450,1.10512,1.10438,1.10487,4823
2024-01-02,10:05,1.10487,1.10531,1.10471,1.10518,5102
2024-01-02,10:10,1.10518,1.10558,1.10503,1.10542,4789
2024-01-02,10:15,1.10542,1.10579,1.10527,1.10564,5234
2024-01-02,10:20,1.10564,1.10601,1.10549,1.10587,4956
2024-01-02,10:25,1.10587,1.10623,1.10571,1.10608,5312
2024-01-02,10:30,1.10608,1.10644,1.10592,1.10630,4867
2024-01-02,10:35,1.10630,1.10665,1.10614,1.10651,5098
2024-01-02,10:40,1.10651,1.10687,1.10636,1.10672,4743
2024-01-02,10:45,1.10672,1.10708,1.10657,1.10694,5187
2024-01-02,10:50,1.10694,1.10729,1.10678,1.10715,4912
2024-01-02,10:55,1.10715,1.10751,1.10700,1.10737,5043
