<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2024.01.02,08:00,16550.0,16572.5,16541.0,16560.0,312,0,2
2024.01.02,08:05,16560.0,16581.0,16553.5,16573.5,287,0,2
2024.01.02,08:10,16573.5,16592.0,16568.0,16585.0,341,0,2
2024.01.02,08:15,16585.0,16598.5,16577.0,16590.5,298,0,2
2024.01.02,08:20,16590.5,16605.0,16582.0,16600.0,276,0,2
2024.01.02,08:25,16600.0,16618.5,16594.5,16611.0,319,0,2
2024.01.02,08:30,16611.0,16625.0,16604.0,16619.5,342,0,2
2024.01.02,08:35,16619.5,16634.0,16613.5,16628.0,305,0,2
2024.01.02,08:40,16628.0,16641.5,16621.0,16635.5,288,0,2
2024.01.02,08:45,16635.5,16650.0,16629.5,16643.0,321,0,2
2024.01.02,08:50,16643.0,16658.5,16637.5,16652.0,297,0,2
2024.01.02,08:55,16652.0,16664.0,16645.5,16659.5,318,0,2
2024.01.02,09:00,16659.5,16675.0,16653.0,16668.0,334,0,2
2024.01.02,09:05,16668.0,16681.5,16662.0,16675.0,302,0,2
2024.01.02,09:10,16675.0,16689.0,16668.5,16682.5,289,0,2
