a,b,c,d,e,f
2024-01-02,12:00,1.10947,1.10983,1.10932,1.10968
2024-01-02,12:05,1.10968,1.11004,1.10953,1.10989
2024-01-02,12:10,1.10989,1.11025,1.10974,1.11010
2024-01-02,12:15,1.11010,1.11046,1.10995,1.11031
2024-01-02,12:20,1.11031,1.11067,1.11016,1.11052
2024-01-02,12:25,1.11052,1.11088,1.11037,1.11073
2024-01-02,12:30,1.11073,1.11109,1.11058,1.11094
2024-01-02,12:35,1.11094,1.11130,1.11079,1.11115
2024-01-02,12:40,1.11115,1.11151,1.11100,1.11136
2024-01-02,12:45,1.11136,1.11172,1.11121,1.11157
