time,open,high,low,close,volume
1704153600,16685.0,16701.5,16679.5,16694.0,1248
1704153900,16694.0,16708.0,16688.5,16701.5,1134
1704154200,16701.5,16715.0,16695.5,16708.0,1289
1704154500,16708.0,16722.5,16702.0,16716.5,1198
1704154800,16716.5,16730.0,16710.5,16724.0,1312
1704155100,16724.0,16738.5,16718.0,16731.5,1167
1704155400,16731.5,16745.0,16725.5,16739.0,1243
1704155700,16739.0,16752.5,16733.0,16746.5,1189
1704156000,16746.5,16760.0,16740.5,16754.0,1278
1704156300,16754.0,16767.5,16748.0,16761.5,1201
1704156600,16761.5,16775.0,16755.5,16769.0,1234
1704156900,16769.0,16782.5,16763.0,16776.5,1156
1704157200,16776.5,16790.0,16770.5,16784.0,1298
1704157500,16784.0,16797.5,16778.0,16791.5,1178
1704157800,16791.5,16805.0,16785.5,16799.0,1267
